ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
34	Cacaopera	13.74	-88.11	caca1247	Misumalpan	EAR	tupa	t u p a	1 7 1 7	AXBZ	TYPA	1	1.T.C 1.Y.V 1.P.C 1.A.V	2.0 1.5 1.75 0.8	tupa	0	45	t u p a
86	Mayangna	14.13	-84.34	maya1285	Misumalpan	EAR	tapa	t a p a	1 7 1 7	AXBZ	TAPA	2	2.T.C 2.A.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	tapa	0	45	t a p a
138	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	EAR	tapa	t a p a	1 7 1 7	AXBZ	TAPA	4	4.T.C 4.A.V 4.P.C 4.A.V	2.0 1.5 1.75 0.8	tapa	0	45	t a p a
173	Miskito	15.1576	-84.2942	misk1235	Misumalpan	EAR	won_kiama	w o n + k i a m a	6 7 4 9 1 7 7 4 7	AXN_AXYBZ	WUN_KIAMA	3	3.W.C 3.U.V 3.N.c 3._._ 3.K.C 3.I.V 3.A.V 3.M.C 3.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.3 1.75 0.8	won+kiama	0	46	
45	Cacaopera	13.74	-88.11	caca1247	Misumalpan	EARTH (SOIL)	duru	d u r u	1 7 5 7	AXBZ	TYRY	1	1.T.C 1.Y.V 1.R.C 1.Y.V	2.0 1.5 1.75 0.8	duru	0	47	
97	Mayangna	14.13	-84.34	maya1285	Misumalpan	EARTH (SOIL)	saw	s a w	3 7 6	AXN	SAW	2	2.S.C 2.A.V 2.W.c	2.0 1.5 0.8	saw	0	48	s a w
149	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	EARTH (SOIL)	saw	s a w	3 7 6	AXN	SAW	4	4.S.C 4.A.V 4.W.c	2.0 1.5 0.8	saw	0	48	s a w
174	Miskito	15.1576	-84.2942	misk1235	Misumalpan	EARTH (SOIL)	tasba	t a s b a	1 7 3 1 7	AXMBZ	TASPA	3	3.T.C 3.A.V 3.S.c 3.P.C 3.A.V	2.0 1.5 1.1 1.75 0.8	tasba	0	49	
11	Cacaopera	13.74	-88.11	caca1247	Misumalpan	EAT	duri	d u r i	1 7 5 7	AXBZ	TYRI	1	1.T.C 1.Y.V 1.R.C 1.I.V	2.0 1.5 1.75 0.8	duri	0	50	
63	Mayangna	14.13	-84.34	maya1285	Misumalpan	EAT	kas	k a s	1 7 3	AXN	KAS	2	2.K.C 2.A.V 2.S.c	2.0 1.5 0.8	kas	0	51	k a s
