ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	COGID	ALIGNMENT
12	Cacaopera	13.74	-88.11	caca1247	Misumalpan	NECK	tsaw	t s a w	118	
64	Mayangna	14.13	-84.34	maya1285	Misumalpan	NECK	dimak	d i m a k	119	( d i ) m a k
116	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	NECK	ma:mak	m aː m a k	119	( m aː ) m a k
207	Miskito	15.1576	-84.2942	misk1235	Misumalpan	NECK	won_nana	w o n + n a n a	120	
31	Cacaopera	13.74	-88.11	caca1247	Misumalpan	NEW	misinan	m i s i n a n	122	m i s i n a n
83	Mayangna	14.13	-84.34	maya1285	Misumalpan	NEW	wisam	w i s a m	122	w i s a - - m
135	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	NEW	bata:ka	b a t aː k a	124	
208	Miskito	15.1576	-84.2942	misk1235	Misumalpan	NEW	raya	r a j a	123	
30	Cacaopera	13.74	-88.11	caca1247	Misumalpan	NIGHT	iran	i r a n	125	
82	Mayangna	14.13	-84.34	maya1285	Misumalpan	NIGHT	pukta	p u k t a	126	p u k t a
134	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	NIGHT	pukka	p u k a	126	p u k - a
209	Miskito	15.1576	-84.2942	misk1235	Misumalpan	NIGHT	timia	t i m i a	127	
28	Cacaopera	13.74	-88.11	caca1247	Misumalpan	NOSE	namn	n a m n	128	n a m n - - -
80	Mayangna	14.13	-84.34	maya1285	Misumalpan	NOSE	nam	n a m	128	n a m - - - -
132	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	NOSE	nantak	n a n t a k	41	n a - n t a k
210	Miskito	15.1576	-84.2942	misk1235	Misumalpan	NOSE	won_kakma	w o n + k a k m a	130	
211	Miskito	15.1576	-84.2942	misk1235	Misumalpan	NOT	apia	a p i a	131	
50	Cacaopera	13.74	-88.11	caca1247	Misumalpan	OLD	uskam	u s k a m	132	
102	Mayangna	14.13	-84.34	maya1285	Misumalpan	OLD	umani	u m a n i	133	u m a n i
154	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	OLD	umana	u m a n a	133	u m a n a
47	Cacaopera	13.74	-88.11	caca1247	Misumalpan	ONE	bas	b a s	135	b a s
99	Mayangna	14.13	-84.34	maya1285	Misumalpan	ONE	as	a s	135	- a s
151	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	ONE	as	a s	135	- a s
212	Miskito	15.1576	-84.2942	misk1235	Misumalpan	ONE	kum	k u m	136	
41	Cacaopera	13.74	-88.11	caca1247	Misumalpan	RED	lala	l a l a	138	
93	Mayangna	14.13	-84.34	maya1285	Misumalpan	RED	pawni	p a w n i	139	p a w ( n i )
145	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	RED	pawka	p a w k a	139	p a w ( k a )
214	Miskito	15.1576	-84.2942	misk1235	Misumalpan	RED	pauni	p a u n i	140	
42	Cacaopera	13.74	-88.11	caca1247	Misumalpan	SALT	jabulu	j a b u l u	143	
94	Mayangna	14.13	-84.34	maya1285	Misumalpan	SALT	kuma	k u m a	144	k u m a
146	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	SALT	kuma	k u m a	144	k u m a
2	Cacaopera	13.74	-88.11	caca1247	Misumalpan	SAND	kui	k u i	145	
54	Mayangna	14.13	-84.34	maya1285	Misumalpan	SAND	kauhmak	k a u h m a k	146	k a u h m a k
106	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	SAND	ka:uhmak	k aː u h m a k	146	k aː u h m a k
217	Miskito	15.1576	-84.2942	misk1235	Misumalpan	SAND	kabo_auya	k a b o + a u j a	147	
14	Cacaopera	13.74	-88.11	caca1247	Misumalpan	SAY	na	n a	148	
66	Mayangna	14.13	-84.34	maya1285	Misumalpan	SAY	at	a t	151	a t
118	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	SAY	at	a t	151	a t
218	Miskito	15.1576	-84.2942	misk1235	Misumalpan	SAY	wiaia	w i a i a	150	
